question,answer_llm,answer_orig,document
What’s the right place to submit questions during Office Hours if chat gets too busy?,Submit your questions to **Slido** during Office Hours if the chat is too busy. The Slido link is usually **pinned in the chat when live**.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where do I begin if I just joined LLM Zoomcamp, and what should I look at first?","If you just joined LLM Zoomcamp, start here:

1. **LLM Zoomcamp docs**  
   https://datatalks.club/docs/courses/llm-zoomcamp/

2. **General Zoomcamp logistics docs**  
   https://datatalks.club/docs/courses/zoomcamp-logistics/

3. **LLM Zoomcamp GitHub repo**  
   https://github.com/DataTalksClub/llm-zoomcamp

4. **Course management platform** for syllabus, deadlines, homework, and progress:  
   https://courses.datatalks.club/llm-zoomcamp-2026/

A typical workflow is:
- watch the lesson videos,
- work through the lesson notebooks/code,
- read the homework instructions on GitHub,
- submit answers on the course platform before the deadline.

If you mean Module 1 specifically, start with:
- https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag
- https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md

I don't know.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
What’s the usual weekly routine for this course after I watch the videos?,"A typical weekly workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers through the course platform before the deadline.

Homework usually follows the lesson flow, but with a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I have to start LLM Zoomcamp on a fixed date, or can I jump in anytime?","You can start anytime. The course materials and videos are available, and the deadlines are listed on the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Which docs, GitHub repo, or course page should I check to keep up with deadlines and materials?","Check these:

- **LLM Zoomcamp docs:** https://datatalks.club/docs/courses/llm-zoomcamp/
- **General Zoomcamp logistics docs:** https://datatalks.club/docs/courses/zoomcamp-logistics/
- **LLM Zoomcamp GitHub repo:** https://github.com/DataTalksClub/llm-zoomcamp
- **Course management platform** for deadlines, homework, and progress: https://courses.datatalks.club/llm-zoomcamp-2026/

If you’re unsure, follow the **GitHub repo first**, since it’s easier to keep updated than the YouTube playlist.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do the homework assignments usually relate to the lesson notebooks and code?,"Homework usually follows the lesson workflow, but with a different dataset or a slightly different task, so it’s based on the lesson notebooks and code rather than being identical to them.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my own entry on the leaderboard if I can’t spot it right away?,"Click the **“Jump to your record on the leaderboard”** link to go straight to your own entry. If you want to check your display name first, use **“Edit Course Profile.”**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Why does the leaderboard show a random name for me, and can I change it?","The leaderboard shows a random anonymous name because your account is automatically assigned one when it’s created.

Yes, you can change it:
- Go to **Edit Course Profile**
- Change the **first field** to the nickname/display name you want shown publicly on the leaderboard
- The **second field** is for your official name, which appears on your certificate

So the random name is just the default public display name, and you can replace it with your own nickname.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what my display name is in the course profile?,Click **“Edit Course Profile”** — your **display name is the first field**.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What do I need to fill in if I want my real name on the certificate instead of the default nickname?,Fill in the **second field** in **“Edit Course Profile”** with your **official name** as it appears on your ID/passport. That’s the name that will be printed on your certificate.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I use a Slack or GitHub handle as my displayed name and still keep my identity private?,"Yes — you can use a Slack or GitHub handle as your public display name and keep your identity private. The public leaderboard uses your separate display name, which is anonymous by default, while your certificate name stays private and only appears on the certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I do this course at my own pace and still receive a certificate at the end?,No. You can only get a certificate if you finish the course with a live cohort; self-paced mode does not qualify.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I study the course later on my own, is there any way to get the certificate anyway?","No. You can only get a certificate if you complete the course with a live cohort, since you need to do the required peer reviews while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why isn’t a certificate available for people who take the course in self-paced mode?,"Because certificates require the live cohort’s peer-review process. In self-paced mode, you can’t peer-review 3 capstone projects, since peer review is only available while the course is running and the review list is still open.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I have to join a live cohort to qualify for the course certificate?,"Yes — to qualify for the certificate, you need to finish the course with a **live cohort**. Certificates are **not** awarded for the self-paced mode because you need to **peer-review 3 capstones** during the course while it’s running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is the peer-review part the reason certificates are only given during the live run?,"Yes. According to the context, certificates are only awarded for the live cohort because you need to peer-review 3 capstone projects after submitting your own, and peer-review is only available while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I skipped the first homework, can I still earn the course certificate?","Yes. You can still earn the course certificate even if you skipped the first homework. You just need to pass the Capstone project, since homework is not mandatory.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Do I have to do every homework assignment to get certified in this course?,"No. You do **not** have to do every homework assignment to get certified in this course. You need to **pass the Capstone project** to get the certificate. Homework is **not mandatory**, though it is recommended.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I actually need to pass in order to receive the certificate?,"You need to **pass the Capstone project** to receive the certificate. Homework is **not mandatory**.

Also, the certificate is only available if you finish the course with the **live cohort** — not in self-paced mode.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is homework required for the certificate, or is it just for practice?","Homework is not required for the certificate. You only need to pass the Capstone project to get the certificate. Homework is optional, though it’s recommended for practice and the points count toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework isn’t mandatory, what role does it play in the final ranking?",I don't know.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing before the deadline?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is only ready when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on it before it’s ready is at your own risk, because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean when the homework title has [DRAFT] in it?,It means the homework is **not ready yet**. The content may still change until the homework form is open and the title no longer contains `[DRAFT]`.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if a homework assignment is actually ready to work on?,"A homework assignment is ready only when **both** of these are true:

- The homework form is **open** on the course management platform.
- The homework title **does not contain** `[DRAFT]`.

If the title still has `[DRAFT]`, it is not ready yet and the content may still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start the homework while it is still marked as draft?,"Working on it while it’s still marked `[DRAFT]` is **at your own risk**. The context says the homework is only ready when:

- the homework form is open, and
- the title does **not** contain `[DRAFT]`.

Until then, the content can still change, so it’s not considered safe to rely on the draft version.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can the final homework version be different from what I saw earlier?,"Yes. Until the homework is officially ready, the content can still change, so the final version may be different from what you saw earlier.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next llm-zoomcamp course offering scheduled for?,I don't know.,Summer 2027.,bd31146b0e
Do you know when this course will run again after this session?,I don't know.,Summer 2027.,bd31146b0e
What's the next time this course is going to be offered?,Summer 2027.,Summer 2027.,bd31146b0e
Is there a planned date for the next run of the course?,The next planned run of the course is **Summer 2027**.,Summer 2027.,bd31146b0e
When should I expect the next course session to start?,Summer 2027.,Summer 2027.,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** there — each lesson page has the relevant **videos linked at the top**.  
If there’s any mismatch, trust the **GitHub repo** first, since it’s updated more often than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main place to start if I want to watch the lessons?,"Yes — the main entry point is the **LLM Zoomcamp GitHub repository**.

Open the lesson folders there; each lesson page has the relevant videos linked at the top. If you're unsure where to begin, follow the GitHub repo first since it’s kept more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Do the lesson pages include links to the videos, and where are they shown?","Yes. The lesson pages include links to the relevant videos, and they’re shown at the top of each lesson folder/page in the GitHub repo.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Should I use the GitHub repo or the YouTube playlist to follow the course videos?,"Use the **GitHub repo first**. It’s the main entry point for the course, and it’s easier to keep updated than the YouTube playlist.

Open the lesson folders in the repo, and each lesson page has the relevant videos linked at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
I’m trying to find the lectures — what’s the easiest updated source for them?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there — each lesson page has the relevant videos linked at the top.  
It’s the easiest updated source, and it’s better to follow the GitHub repo first because it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I check the LLM Zoomcamp syllabus and homework deadlines in one place?,"Use the **LLM Zoomcamp course management platform**: https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the **syllabus, homework, deadlines, and progress tracking** in one place.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a course page for tracking my progress in the LLM Zoomcamp?,"Yes — the course management platform is where you can track your progress, syllabus, deadlines, and homework:

https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What platform should I use to follow the current cohort structure and deadlines for LLM Zoomcamp?,"Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the **current cohort structure, homework, deadlines, and progress tracking**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Where can I find the official LLM Zoomcamp management site for homework and progress tracking?,"The official LLM Zoomcamp management site is:

https://courses.datatalks.club/llm-zoomcamp-2026/

It’s used for homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"How do I keep track of the syllabus, assignments, and deadlines during the LLM Zoomcamp?","Use the **LLM Zoomcamp course management platform** to keep track of the **syllabus, homework, deadlines, and progress**:

https://courses.datatalks.club/llm-zoomcamp-2026/

It shows the current cohort structure and all deadlines.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Will there be a live class or office hour for every module, or is everything just pre-recorded?","There are no separate live sessions for every module by default. The module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you get stuck, ask in Slack and follow the asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I get stuck on a lesson, where should I ask for help instead of waiting for a live session?","Ask for help in **Slack**, following the **asking questions guidelines**.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
How do I know when any live sessions are happening for the course?,"Live sessions are **announced separately when they happen**. The course doesn’t have live sessions for every module by default.

To stay updated, check the **announcements channel on Telegram and Slack**. You can also watch live on the **DataTalksClub YouTube Channel**.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Is there any extra paid support with regular Zoom office hours if I want more guidance?,"Yes — optional extra support is available through **AI Shipping Labs**, which is a **paid community** that includes **regular Zoom office hours** and additional structure. The main DataTalks.Club course content remains free.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
