question,document,score,reasoning
Where can I find the course lectures or videos for LLM Zoomcamp?,31456f4b5f,good,"The AI answer matches the ground truth: it points to the LLM Zoomcamp GitHub repository as the main entry point, says to open lesson folders where videos are linked at the top, and advises trusting the GitHub repo over the YouTube playlist because it is updated more often. This conveys the same key information."
Is there a main place to start if I want to watch the lessons?,31456f4b5f,good,"The AI answer matches the ground truth: it identifies the LLM Zoomcamp GitHub repository as the main entry point, says lesson folders contain relevant videos at the top, and notes the repo is preferred over the YouTube playlist because it is more up to date. This is semantically equivalent."
"Do the lesson pages include links to the videos, and where are they shown?",31456f4b5f,good,"The AI answer correctly states that lesson pages include links to the relevant videos and that they are shown at the top of each lesson page/folder in the GitHub repo. This matches the ground truth, though it omits the extra guidance about using the GitHub repo as the main entry point and being easier to keep updated than the YouTube playlist. That omission does not change the core answer to the question."
Should I use the GitHub repo or the YouTube playlist to follow the course videos?,31456f4b5f,good,"The AI answer matches the ground truth: it recommends using the GitHub repo as the main entry point, notes that lesson folders/pages contain the relevant video links, and explains that the repo is easier to keep updated than the YouTube playlist. No key information is missing or contradicted."
I’m trying to find the lectures — what’s the easiest updated source for them?,31456f4b5f,good,"The AI answer matches the ground truth: it identifies the LLM Zoomcamp GitHub repository as the main, easiest updated source, notes that lesson folders contain the relevant video links at the top, and explains that the GitHub repo is preferable to the YouTube playlist because it is easier to keep updated. No key information is missing or incorrect."
Where do I check the LLM Zoomcamp syllabus and homework deadlines in one place?,20c5a1347e,good,"The AI answer matches the ground truth: it points to the LLM Zoomcamp course management platform and states that it contains the syllabus/homework/deadlines/progress tracking in one place. This is semantically equivalent, with only minor wording differences."
Is there a course page for tracking my progress in the LLM Zoomcamp?,20c5a1347e,good,"The AI answer conveys the same information as the ground truth: it points to the LLM Zoomcamp course management platform and states that it includes progress tracking, syllabus, deadlines, and homework. This is semantically equivalent, with only minor wording differences."
What platform should I use to follow the current cohort structure and deadlines for LLM Zoomcamp?,20c5a1347e,good,"The AI answer matches the ground truth: it points to the LLM Zoomcamp course management platform at the same URL and states that it contains the current cohort structure, homework, deadlines, and progress tracking. The extra formatting does not change the meaning."
Where can I find the official LLM Zoomcamp management site for homework and progress tracking?,20c5a1347e,good,"The AI answer correctly provides the official course management URL and states its use for homework, deadlines, and progress tracking, matching the ground truth."
"How do I keep track of the syllabus, assignments, and deadlines during the LLM Zoomcamp?",20c5a1347e,good,"The AI answer matches the ground truth: it directs the user to the LLM Zoomcamp course management platform and states that it contains the cohort structure, homework/assignments, deadlines, and progress tracking. This is semantically equivalent, with only minor wording differences."
"Will there be a live class or office hour for every module, or is everything just pre-recorded?",d65e05bd7a,good,"The AI answer matches the ground truth on the key points: no separate live sessions for every module by default, materials are pre-recorded in the course repo, and live sessions are announced separately. It also correctly mentions asking in Slack and following the questions guidelines. It omits the optional AI Shipping Labs support, but that is extra detail rather than a core requirement for this question."
"If I get stuck on a lesson, where should I ask for help instead of waiting for a live session?",d65e05bd7a,good,"The AI answer correctly identifies Slack as the place to ask for help and references the asking questions guidelines, which matches the core of the ground truth. It omits extra context about live sessions and optional support, but that is not necessary for the question asked."
How do I know when any live sessions are happening for the course?,d65e05bd7a,good,"The AI answer correctly states that live sessions are announced separately and that there are no live sessions for every module by default. However, it adds unsupported specifics about Telegram and YouTube that are not in the ground truth. More importantly, it omits the key guidance to ask questions in Slack and follow the asking questions guidelines, as well as the optional extra support via AI Shipping Labs. The core answer about live session timing is preserved, so this is mostly correct but incomplete with some extraneous detail."
Is there any extra paid support with regular Zoom office hours if I want more guidance?,d65e05bd7a,good,"The AI answer captures the key point that paid optional extra support exists via AI Shipping Labs, including regular Zoom office hours, and that the core course remains free. It omits some extra context about modules being pre-recorded and questions being asked in Slack, but that does not change the main answer to the user’s question."
"Are the module materials available in the course repo, and are they free to access?",d65e05bd7a,good,"The AI answer correctly states that the module materials are in the course GitHub repo and that the course content is free to access. It captures the key point from the ground truth, though it omits extra details about live sessions and optional paid support, which are not necessary to answer the question."
Can I count a Bluesky post toward my learning in public credits for the course?,dbf5369006,good,The AI answer matches the ground truth exactly and conveys the same approval that Bluesky posts count toward learning in public credits.
Are Bluesky posts accepted if I want to earn learning in public credits?,dbf5369006,good,The AI answer matches the ground truth in meaning: it confirms that Bluesky posts are accepted/can be used for learning in public credits. No key information is missing or incorrect.
Does posting on Bluesky qualify for learning in public credit in this course?,dbf5369006,good,"The AI answer matches the ground truth exactly, affirming that Bluesky posts qualify for learning in public credits."
"If I share my learning on Bluesky, will that be recognized as learning in public credits?",dbf5369006,good,The AI answer exactly matches the ground truth and conveys the same meaning: Bluesky posts count for learning in public credits.
Can I use a Bluesky update as proof for my learning in public credits?,dbf5369006,good,The AI answer matches the ground truth exactly and conveys the same meaning: Bluesky posts can be used as proof for learning in public credits.
Where can I find the LLM Zoomcamp Telegram channel link?,054f3fd58f,good,"The AI answer provides the exact Telegram channel link from the ground truth. It conveys the key information correctly, and the extra note in the original about using Slack for technical discussion is not required to answer the question."
"Is there a Telegram channel for LLM Zoomcamp, and what is it used for?",054f3fd58f,good,"The AI answer matches the ground truth exactly in meaning: it provides the Telegram channel URL and correctly states it is for announcements, while technical discussion/questions should go to Slack. No key information is missing or incorrect."
What’s the Telegram group for this course?,054f3fd58f,good,"The AI answer correctly provides the Telegram channel link for the course. It omits the extra note about using it for announcements and Slack for technical discussion, but the core answer matches the ground truth."
Can you share the LLM Zoomcamp Telegram channel URL?,054f3fd58f,good,"The AI answer provides the exact Telegram channel URL from the ground truth. It omits the extra note about using Slack for technical discussion, but the core requested information is correct and complete for the question asked."
Should I use the Telegram channel for announcements or technical questions?,054f3fd58f,good,"The AI answer matches the ground truth: Telegram is for announcements, and technical discussion/questions should go to the course Slack channel. No key information is missing or incorrect."
Why does my FAQ dataset have a different number of records than the one shown in the course videos?,e2d595f23c,good,"The AI answer preserves the key point that the FAQ dataset is live and changes over time, and that the course videos were recorded in May 2026, which explains the record-count difference. This is semantically equivalent to the ground truth."
"Is the FAQ data supposed to match exactly what’s in the lectures, or can it change over time?",e2d595f23c,good,"The AI answer preserves the key point: the FAQ data comes from a live dataset that changes over time, with new questions added and old ones removed, and the lecture/video counts may differ because the videos were recorded in May 2026. This is semantically equivalent to the ground truth."
I ran the code and got a different FAQ count — is that because the dataset is live?,e2d595f23c,good,"The AI answer preserves the core meaning of the ground truth: the FAQ dataset is live, changes over time, and that explains why the count can differ from the videos. It omits the specific detail that the videos were recorded in May 2026, but that is not essential to the question-answer equivalence."
"The videos show one number of FAQ records, but I see another one now. What’s causing that?",e2d595f23c,good,"The AI answer matches the ground truth: it explains that the FAQ dataset is live, changes over time with additions/removals, and that the videos were recorded in May 2026, so counts can differ now versus in the videos."
Why do old course videos and the current FAQ dataset not line up anymore?,e2d595f23c,good,"The AI answer preserves the key idea: the FAQ dataset is live and changes over time, and the videos were recorded in May 2026 so counts may differ now. This is semantically equivalent to the ground truth."
Can I still turn in the homework if the deadline already passed but the submission form is still open?,a9353fadfe,good,"The AI answer matches the ground truth: it says you can still submit while the form is open even after the deadline, and that submissions stop once the form is closed. This preserves the key point exactly."
"If the homework deadline is over, does the form still accept submissions?",a9353fadfe,good,"The AI answer matches the ground truth: it states that submissions are still accepted after the deadline as long as the form remains open, and that submissions stop only once the form is closed. No key information is missing or contradicted."
Is it okay to submit my answers late as long as the form hasn’t closed yet?,a9353fadfe,good,"The AI answer preserves the key point: submissions are allowed after the deadline as long as the form remains open, and they are no longer accepted once the form closes. This is semantically equivalent to the ground truth."
At what point do homework submissions actually stop being accepted?,a9353fadfe,good,"The AI answer matches the ground truth: submissions are accepted while the form is open, and they stop only once the form is closed. The extra statement about no late submissions or individual extensions does not change the core meaning and is consistent with the original. "
"The deadline passed, but the upload form is open — should I still send my homework?",a9353fadfe,good,"The AI answer preserves the key point: submissions are still allowed while the form remains open, even after the deadline, and become impossible only after the form closes. This is semantically equivalent to the ground truth."
"Can I still turn in homework after the deadline, or is the submission form shut for good?",cdc3b285e5,good,"The AI answer captures the key point that submissions are allowed while the form remains open, even after the listed deadline, and that closure is final. However, it omits the explicit no-late-submissions/no individual deadline extensions part and the extra note about missing homework not affecting the certificate. The core answer to the user's question is still correctly conveyed, so it is semantically equivalent."
Do you ever give one-on-one deadline extensions for homework in this course?,cdc3b285e5,good,"The AI answer correctly states that there are no individual deadline extensions and no late submissions after the homework form closes. It omits the extra clarification that submissions are still allowed while the form remains open even after the listed deadline passes, and it also omits the note that homework is optional and only affects leaderboard rank. However, the core answer to the question is preserved."
"If I miss a homework, will that stop me from getting the certificate?",cdc3b285e5,good,"The AI answer correctly states that missing homework will not stop the certificate and that only the Capstone project is required. It omits the extra details about late submissions and leaderboard ranking, but those are not necessary to answer the question."
Are late homework submissions accepted at all once the deadline has passed?,cdc3b285e5,good,"The AI answer matches the core policy: no late submissions after the form closes, but submissions are still possible while the form remains open even if the deadline has passed. It omits the extra certificate/leaderboard information, which is not needed to answer the question."
"Does skipping homework affect only the leaderboard, or does it also impact the certificate requirements?",cdc3b285e5,good,"The AI answer captures the key point that homework only affects the leaderboard and not certificate requirements, and correctly states that passing the Capstone project is what matters for the certificate. It omits the extra detail about no late submissions or deadline extensions, but that was not necessary to answer the question."
Will the name I enter for the certificate also show up on the public leaderboard or get shared anywhere else?,651ba06b34,good,"The AI answer matches the ground truth: it says the certificate name is only printed on the certificate, not shown publicly or shared with third parties, and that the public leaderboard uses a separate display name/nickname. It omits the extra detail about Edit Course Profile and the specific fields, but that is not required for semantic equivalence."
"Is the name on my certificate visible online, or is it kept private?",651ba06b34,good,"The AI answer correctly states that the certificate name is private, only appears on the certificate, and is not published or shared. It also correctly mentions that the public leaderboard uses a separate random nickname by default. It omits the specific detail about editing both fields in 'Edit Course Profile,' but that is not essential to the core question."
What’s the difference between the leaderboard display name and the certificate name in Edit Course Profile?,651ba06b34,good,"The AI answer matches the ground truth: it distinguishes the public leaderboard display name from the certificate name, notes that the leaderboard name is anonymous by default, and correctly identifies the two fields in Edit Course Profile. It preserves the key privacy distinction and the field order."
Can I keep my real name off the public leaderboard but still have it printed on the certificate?,651ba06b34,good,"The AI answer conveys the same essential information as the ground truth: the leaderboard uses a separate nickname/display name, and the certificate can show the official real name only on the certificate. It also implies the settings are separate, matching the original meaning. The only minor issue is that the original starts with 'No.' in response to the exact phrasing, but the explanatory content is equivalent and the practical answer is correct."
"If I change my profile, which field controls the nickname everyone sees and which one goes on the certificate?",651ba06b34,good,"The AI answer matches the ground truth: it correctly identifies the first field as the public leaderboard nickname/display name and the second as the official certificate name. It preserves the key distinction and is semantically equivalent, though it omits the extra privacy detail that the certificate name is not published online."
Why doesn’t this course start with LangChain for RAG apps?,b7cdde6b25,good,"The AI answer matches the ground truth: it explains that the course starts with core RAG building blocks (prompting, retrieval, indexing, evaluation) before introducing LangChain, and includes the same HTML/CSS/JavaScript vs React/Angular analogy. No key information is missing or incorrect."
"What’s the reason we build retrieval, indexing, and prompting ourselves instead of using a framework?",b7cdde6b25,good,"The AI answer matches the ground truth: it explains that the core pieces are built first to understand how LLM apps work before using a framework, and it includes the same learning-first analogy about frameworks being easier to use once you understand what they automate. It preserves the key point, with no contradiction or omission of importance."
Is LangChain considered too advanced or does the course want us to learn the basics first?,b7cdde6b25,good,"The AI answer matches the ground truth: it says the course wants basics first, describes LangChain as a framework, and mentions the same core pieces (prompting, retrieval, indexing, evaluation). It preserves the key analogy that frameworks are easier after learning fundamentals."
Why do we need to understand the core LLM app pieces before using tools like LangChain?,b7cdde6b25,good,"The AI answer preserves the core idea: LangChain is a framework for LLM apps, and understanding foundational pieces like prompting, retrieval, indexing, and evaluation first helps you use such frameworks effectively. It also includes the same analogy to learning HTML/CSS/JavaScript before React/Angular. Semantically equivalent to the ground truth."
Wouldn’t it be easier to just use LangChain from the beginning in this module?,b7cdde6b25,good,"The AI answer conveys the same core idea as the original: it says the course teaches core LLM app components first, LangChain is a framework that automates much of it, and the HTML/CSS/JS vs React/Angular analogy is preserved. No key information is missing or contradicted."
Why do I get an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59,good,"The AI answer matches the ground truth: it states that the error occurs because the OpenAI account has insufficient credits and reproduces the same error message. The extra advice about billing and API keys is not contradictory, though not present in the original answer."
What does it mean if `responses.create` fails with an Insufficient credits message?,f5df151c59,good,"The AI answer captures the core meaning of the ground truth: `responses.create` fails because the account lacks sufficient credits, and it reproduces the same error text. The extra mention of OpenRouter and `max_output_tokens` is additional context and does not contradict the main answer."
How can I fix the error I see when calling OpenAI `responses.create` and it says I have no credits left?,f5df151c59,good,"The ground truth says the error occurs due to insufficient credits in the OpenAI account. The AI answer includes that same fix for OpenAI directly: add credits / enable billing. Although it adds extra OpenRouter-specific advice, that does not contradict the core answer. Therefore it is semantically equivalent for the asked question."
Is an Insufficient credits error on `responses.create` usually caused by my OpenAI account balance?,f5df151c59,good,"The AI answer matches the ground truth: it states that an 'Insufficient credits' error on `responses.create` is typically due to insufficient account quota/billing, which corresponds to insufficient credits in the OpenAI account. It preserves the core meaning and is semantically equivalent."
Why is my OpenAI `responses.create` command not working and showing an API error about credits?,f5df151c59,good,"The AI answer correctly identifies that the `responses.create` call can fail due to insufficient credits/quota and even quotes the same error text. It adds extra troubleshooting details, but the core answer matches the ground truth."
"Why am I getting a 429 RateLimitError from OpenAI, and does it mean my code is wrong?",152af39a53,good,"The AI answer correctly explains that a 429 RateLimitError can be due to account quota/billing rather than incorrect code, and it identifies the specific 'insufficient_quota' case as a billing/account issue. It also includes the relevant fix steps from the ground truth: add credits, use an available model, and possibly recreate the API key. The extra discussion about true rate limiting is not in the original but is compatible and does not change the meaning."
How can I fix the 'you exceeded your current quota' error when calling the OpenAI API?,152af39a53,good,"The AI answer conveys the same core resolution as the ground truth: the error is due to insufficient quota/billing, you need to add credits (at least $5), use an available model, and possibly recreate the API key. It also correctly notes this is a billing/quota issue rather than a retryable rate-limit problem. This is semantically equivalent to the original answer."
Do I need to add money to my OpenAI account before using the API in this course?,152af39a53,bad,"The AI answer partially matches the ground truth by stating that OpenAI API usage requires adding funds and there is no free usage. However, it incorrectly says you do not need to add money to complete the course homeworks, which is not supported by the original answer and changes the meaning of the response. The original answer specifically instructs the user to add credits to resolve the quota error and use the API successfully."
What should I check in my model name if responses.create keeps failing with a quota or billing error?,152af39a53,bad,"The ground truth says the failure is due to OpenAI API quota/billing issues and that the model name should be one of the OpenAI models available to the user (e.g., gpt-4o), not a generic/free route. The AI answer incorrectly introduces OpenRouter-specific advice and a different example model name, which does not match the original answer’s key point about OpenAI billing/quota and choosing a model available on the account. It misses the main resolution steps and is semantically different."
"After I top up billing, do I need a new API key or can I keep using the old one?",152af39a53,bad,"The ground truth says that after topping up billing, the user may need to recreate an API key and update it locally, though the main issue is quota/billing. The AI answer 'I don't know.' does not convey this information and misses the key point entirely."
How much does it usually cost to use the OpenAI API for this course?,554d0eb78b,good,"The AI answer matches the ground truth: it says the API should cost very little, that recharge starts from $5, and that initial usage is usually just fractions of a cent. No key information is missing or altered."
Do I need to spend a lot of money on the OpenAI API in Module 1?,554d0eb78b,good,"The AI answer matches the ground truth: it says the API should cost very little, mentions recharging from $5, and notes initial usage is usually fractions of a cent. This is semantically equivalent."
"What’s the minimum I can recharge for the OpenAI API, and is that enough for the course exercises?",554d0eb78b,good,"The AI answer correctly states the minimum recharge amount is $5 and that this is usually enough because course usage is very low, matching the ground truth. It adds extra information about alternatives, which does not conflict with the original answer."
Will using the OpenAI API for the RAG module end up costing more than a few cents?,554d0eb78b,good,"The AI answer preserves the key point that using the OpenAI API for the RAG module should cost very little, with initial usage often being fractions of a cent. It adds extra information about no subscription and alternatives, which does not conflict with the original answer. The mention of not needing to spend much is consistent with the ground truth. "
How much should I budget for OpenAI API usage in the course?,554d0eb78b,good,"The AI answer conveys the same key information as the ground truth: OpenAI API usage should cost very little, recharges start at $5, and initial usage is typically fractions of a cent. It is semantically equivalent."
"Do I need to pay for the OpenAI API to finish the homework in this course, or are there free options?",85384a18e5,good,"The AI answer matches the ground truth: it says payment for the OpenAI API is not required, and that free or low-cost alternatives can be used. It also adds examples of alternatives, which is consistent with the course repo mention. No key information is missing or contradicted."
